feature,importance
cpi,0.2465
target_lag1,0.1908
target_lag2,0.1084
petrol_diesel_ratio,0.1067
diesel,0.0557
kerosene,0.0376
inflation_yoy,0.0320
diesel_lag2,0.0319
diesel_lag3,0.0293
fuel_composite,0.0271
diesel_lag1,0.0255
fuel_composite_lag1,0.0179
usd_kes,0.0174
diesel_mom_pct,0.0167
target_lag3,0.0167
petrol,0.0147
month_sin,0.0114
cpi_mom_pct,0.0090
month_cos,0.0047
