feature,importance
cpi,0.1987
target_lag1,0.1590
usd_kes,0.1237
diesel_lag3,0.0817
target_lag2,0.0695
diesel_lag2,0.0472
diesel_lag1,0.0424
kerosene,0.0361
target_lag3,0.0357
diesel_mom_pct,0.0349
petrol_diesel_ratio,0.0335
fuel_composite_lag1,0.0320
diesel,0.0242
cpi_mom_pct,0.0175
petrol,0.0153
inflation_yoy,0.0151
fuel_composite,0.0142
month_cos,0.0116
month_sin,0.0077
